date,nav
02-05-2025,14.64880
30-04-2025,14.64570
29-04-2025,14.66140
28-04-2025,14.66370
25-04-2025,14.48940
24-04-2025,14.65400
23-04-2025,14.69890
22-04-2025,14.60110
21-04-2025,14.57490
17-04-2025,14.39420
16-04-2025,14.17030
15-04-2025,14.09980
11-04-2025,13.77780
09-04-2025,13.53260
08-04-2025,13.60650
07-04-2025,13.37140
04-04-2025,13.81330
03-04-2025,14.04860
02-04-2025,14.08960
01-04-2025,13.97910
31-03-2025,14.18160
28-03-2025,14.18180
27-03-2025,14.23300
26-03-2025,14.14280
25-03-2025,14.24200
24-03-2025,14.27410
21-03-2025,14.09090
20-03-2025,13.98780
19-03-2025,13.83340
18-03-2025,13.75770
17-03-2025,13.53570
13-03-2025,13.46430
12-03-2025,13.51270
11-03-2025,13.52660
10-03-2025,13.49550
07-03-2025,13.57660
06-03-2025,13.58310
05-03-2025,13.45370
04-03-2025,13.26900
03-03-2025,13.27450
28-02-2025,13.25450
27-02-2025,13.53010
25-02-2025,13.55300
24-02-2025,13.57340
21-02-2025,13.72250
20-02-2025,13.80340
19-02-2025,13.77830
18-02-2025,13.75650
17-02-2025,13.76300
14-02-2025,13.75280
13-02-2025,13.85800
12-02-2025,13.85970
11-02-2025,13.86640
10-02-2025,14.08190
07-02-2025,14.21640
06-02-2025,14.23290
05-02-2025,14.29680
04-02-2025,14.30170
03-02-2025,14.07620
31-01-2025,14.16900
30-01-2025,14.00070
29-01-2025,13.95590
28-01-2025,13.80430
27-01-2025,13.73370
24-01-2025,13.93420
23-01-2025,14.03010
22-01-2025,13.98040
21-01-2025,13.93710
20-01-2025,14.16290
17-01-2025,14.09100
16-01-2025,14.11490
15-01-2025,14.02980
14-01-2025,13.98960
13-01-2025,13.88180
10-01-2025,14.16310
09-01-2025,14.26160
08-01-2025,14.37550
07-01-2025,14.40630
06-01-2025,14.36330
03-01-2025,14.64290
02-01-2025,14.73070
01-01-2025,14.47650
31-12-2024,14.41800
30-12-2024,14.42140
27-12-2024,14.49900
26-12-2024,14.48700
24-12-2024,14.46450
23-12-2024,14.47910
20-12-2024,14.39070
19-12-2024,14.64700
18-12-2024,14.79570
17-12-2024,14.90390
16-12-2024,15.09860
13-12-2024,15.14110
12-12-2024,15.03650
11-12-2024,15.08880
10-12-2024,15.06850
09-12-2024,15.06510
06-12-2024,15.10650
05-12-2024,15.10300
04-12-2024,14.96850
03-12-2024,14.94800
02-12-2024,14.83360
29-11-2024,14.74910
28-11-2024,14.62140
27-11-2024,14.78560
26-11-2024,14.70830
25-11-2024,14.71460
22-11-2024,14.51580
21-11-2024,14.21030
19-11-2024,14.35390
18-11-2024,14.31050
14-11-2024,14.34920
13-11-2024,14.33580
12-11-2024,14.55260
11-11-2024,14.72730
08-11-2024,14.72170
07-11-2024,14.78430
06-11-2024,14.95550
05-11-2024,14.75190
04-11-2024,14.63330
31-10-2024,14.75240
30-10-2024,14.82970
29-10-2024,14.90390
28-10-2024,14.81010
25-10-2024,14.72040
24-10-2024,14.86950
23-10-2024,14.89610
22-10-2024,14.91230
21-10-2024,15.14100
18-10-2024,15.20850
17-10-2024,15.15550
16-10-2024,15.32730
15-10-2024,15.38090
14-10-2024,15.40980
11-10-2024,15.32570
10-10-2024,15.34080
09-10-2024,15.33920
08-10-2024,15.32810
07-10-2024,15.14760
04-10-2024,15.32790
03-10-2024,15.47450
01-10-2024,15.81580
30-09-2024,15.81880
27-09-2024,16.03250
26-09-2024,16.03490
25-09-2024,15.91470
24-09-2024,15.90030
23-09-2024,15.89850
20-09-2024,15.77960
19-09-2024,15.54800
18-09-2024,15.54510
17-09-2024,15.57520
16-09-2024,15.56480
13-09-2024,15.54550
12-09-2024,15.56990
11-09-2024,15.29230
10-09-2024,15.36710
09-09-2024,15.30650
06-09-2024,15.25820
05-09-2024,15.44050
04-09-2024,15.46210
03-09-2024,15.50100
02-09-2024,15.49730
30-08-2024,15.46210
29-08-2024,15.41170
28-08-2024,15.36930
27-08-2024,15.34970
26-08-2024,15.34610
23-08-2024,15.24610
22-08-2024,15.24760
21-08-2024,15.21400
20-08-2024,15.17240
19-08-2024,15.08790
16-08-2024,15.04970
14-08-2024,14.80180
13-08-2024,14.79820
12-08-2024,14.93380
09-08-2024,14.94960
08-08-2024,14.79380
07-08-2024,14.90390
06-08-2024,14.65990
05-08-2024,14.71980
02-08-2024,15.14680
01-08-2024,15.31080
31-07-2024,15.29150
30-07-2024,15.22590
29-07-2024,15.21810
26-07-2024,15.18320
25-07-2024,14.93000
24-07-2024,14.91930
23-07-2024,14.93710
22-07-2024,14.97670
19-07-2024,14.95410
18-07-2024,15.14760
16-07-2024,15.08590
15-07-2024,15.09490
12-07-2024,15.02590
11-07-2024,14.94130
10-07-2024,14.93700
09-07-2024,14.98940
08-07-2024,14.91790
05-07-2024,14.91680
04-07-2024,14.88610
03-07-2024,14.86500
02-07-2024,14.75570
01-07-2024,14.77670
28-06-2024,14.69020
27-06-2024,14.69960
26-06-2024,14.60600
25-06-2024,14.54230
24-06-2024,14.46290
21-06-2024,14.42450
20-06-2024,14.47770
19-06-2024,14.44510
18-06-2024,14.49360
14-06-2024,14.42830
13-06-2024,14.35330
12-06-2024,14.29460
11-06-2024,14.24930
10-06-2024,14.24650
07-06-2024,14.24370
06-06-2024,13.97580
05-06-2024,13.82620
04-06-2024,13.35430
03-06-2024,14.28730
31-05-2024,13.80740
30-05-2024,13.76620
29-05-2024,13.89560
28-05-2024,14.00440
27-05-2024,14.05470
24-05-2024,14.06690
23-05-2024,14.06770
22-05-2024,13.86420
21-05-2024,13.82040
17-05-2024,13.74720
16-05-2024,13.68850
15-05-2024,13.56270
14-05-2024,13.55370
13-05-2024,13.45880
10-05-2024,13.43150
09-05-2024,13.34620
08-05-2024,13.56600
07-05-2024,13.52980
06-05-2024,13.64110
03-05-2024,13.69110
02-05-2024,13.78370
30-04-2024,13.72280
29-04-2024,13.72730
26-04-2024,13.60380
25-04-2024,13.66110
24-04-2024,13.56720
23-04-2024,13.53710
22-04-2024,13.51560
19-04-2024,13.38780
18-04-2024,13.31810
16-04-2024,13.39440
15-04-2024,13.45120
